JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA ,6429,3139,3290,2729,3700,4,4,4
ARAD,4582,2672,1910,2611,1971,2,3,2
ARGES,9719,4967,4752,4055,5664,4,4,3
BACAU,11165,4780,6385,2832,8333,5,5,5
BIHOR,5833,3392,2441,3293,2540,2,3,2
BISTRITA NASAUD,4098,2251,1847,2279,1819,3,4,3
BOTOSANI,3898,1904,1994,1206,2692,3,3,3
BRAILA,5061,2174,2887,962,4099,4,4,4
BRASOV,7050,3340,3710,2131,4919,3,3,2
BUZAU,12378,5165,7213,2538,9840,7,6,8
CALARASI,3809,1938,1871,958,2851,4,4,4
CARA?-SEVERIN,3758,1767,1991,1616,2142,4,4,3
CLUJ,6003,3376,2627,2976,3027,2,2,1
CONSTANTA,8629,5063,3566,3543,5086,3,4,2
COVASNA,4492,2266,2226,1270,3222,5,6,5
DAMBOVITA,6236,3063,3173,1727,4509,3,4,3
DOLJ,18343,7964,10379,3185,15158,7,7,7
GALATI,12092,5306,6786,2215,9877,6,6,7
GIURGIU,2169,1194,975,778,1391,3,3,2
GORJ,5325,2469,2856,2187,3138,4,4,4
HARGHITA,6504,3386,3118,2671,3833,5,6,4
HUNEDOARA,5925,3302,2623,3594,2331,3,4,3
IALOMITA,4237,1992,2245,1180,3057,5,5,4
IASI,9132,4242,4890,1988,7144,3,3,3
ILFOV,1450,888,562,968,482,1,1,0
MARAMURES,4999,2495,2504,2099,2900,2,3,2
MEHEDINTI,6238,2833,3405,1691,4547,6,6,6
MUN. BUC.,15287,8209,7078,4684,10603,1,1,1
MURES,6102,2949,3153,2145,3957,3,3,2
NEAMT,7722,3666,4056,2326,5396,4,4,4
OLT,9391,4398,4993,2212,7179,6,6,6
PRAHOVA,8670,4635,4035,4454,4216,3,4,2
SALAJ,5299,2522,2777,1692,3607,5,6,5
SATU M.,5369,2532,2837,990,4379,4,4,4
SIBIU,5183,2622,2561,2390,2793,3,3,2
SUCEAVA,12130,5801,6329,4669,7461,5,5,5
TELEORMAN,8943,3907,5036,1791,7152,6,6,7
TIMIS,4129,2339,1790,2847,1282,1,2,1
TULCEA,2632,1304,1328,829,1803,3,3,3
VALCEA,5818,2937,2881,2686,3132,4,4,3
VASLUI,8830,3905,4925,1702,7128,7,6,7
VRANCEA,5617,2492,3125,1204,4413,4,4,4
Total ,290676,141546,149130,95903,194773,3,4,3
