JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA ,6350,3053,3297,2725,3625,4,4,4
ARAD,4572,2631,1941,2735,1837,2,3,2
ARGES,9840,4935,4905,4185,5655,4,4,4
BACAU,11505,4867,6638,2982,8523,5,5,6
BIHOR,5965,3440,2525,3425,2540,2,3,2
BISTRITA NASAUD,4375,2313,2062,2490,1885,3,4,3
BOTOSANI,4007,1887,2120,1302,2705,3,3,3
BRAILA,5263,2220,3043,1106,4157,4,4,5
BRASOV,6714,3146,3568,2152,4562,3,3,2
BUZAU,13468,5529,7939,2663,10805,8,7,9
CALARASI,3890,1889,2001,1090,2800,4,4,4
CARA?-SEVERIN,3607,1695,1912,1662,1945,3,4,3
CLUJ,6108,3379,2729,3038,3070,2,2,1
CONSTANTA,8732,5154,3578,3829,4903,3,4,2
COVASNA,4348,2124,2224,1182,3166,5,5,5
DAMBOVITA,6182,3008,3174,1764,4418,3,4,3
DOLJ,18872,8175,10697,3359,15513,7,7,7
GALATI,12190,5257,6933,2415,9775,6,6,7
GIURGIU,2098,1140,958,820,1278,3,3,2
GORJ,5212,2387,2825,2193,3019,4,4,4
HARGHITA,6162,3189,2973,2926,3236,5,5,4
HUNEDOARA,5736,3156,2580,3692,2044,3,4,3
IALOMITA,4581,2054,2527,1448,3133,5,5,5
IASI,9356,4347,5009,2084,7272,3,3,3
ILFOV,1441,884,557,980,461,1,1,0
MARAMURES,4697,2313,2384,2180,2517,2,2,2
MEHEDINTI,6503,2899,3604,1889,4614,6,6,7
MUN. BUC.,15251,8167,7084,4697,10554,1,1,1
MURES,6423,3036,3387,2231,4192,3,3,3
NEAMT,9034,4231,4803,2588,6446,5,5,5
OLT,9441,4294,5147,2301,7140,6,6,6
PRAHOVA,8571,4536,4035,4501,4070,3,4,2
SALAJ,5419,2537,2882,1820,3599,5,6,5
SATU M.,5458,2548,2910,1083,4375,4,4,4
SIBIU,5496,2713,2783,2414,3082,3,3,3
SUCEAVA,11804,5483,6321,4929,6875,5,5,5
TELEORMAN,9151,3907,5244,1875,7276,7,6,7
TIMIS,4446,2534,1912,2892,1554,1,2,1
TULCEA,2520,1203,1317,992,1528,3,3,3
VALCEA,5795,2841,2954,2860,2935,4,4,3
VASLUI,9770,4238,5532,1946,7824,7,7,8
VRANCEA,5698,2462,3236,1295,4403,4,4,4
Total ,296051,141801,154250,100740,195311,3,4,3
