JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA ,6881,3289,3592,2796,4085,4,4,4
ARAD,4144,2323,1821,2579,1565,2,3,2
ARGES,9986,4978,5008,4384,5602,4,4,4
BACAU,12186,5096,7090,3025,9161,6,5,6
BIHOR,5880,3308,2572,3314,2566,2,3,2
BISTRITA NASAUD,4566,2364,2202,2478,2088,4,4,3
BOTOSANI,4154,1859,2295,1394,2760,3,3,3
BRAILA,5391,2263,3128,1267,4124,4,4,5
BRASOV,6493,3039,3454,2006,4487,2,3,2
BUZAU,12033,4837,7196,2257,9776,7,6,8
CALARASI,3428,1660,1768,1033,2395,4,4,4
CARA?-SEVERIN,3779,1770,2009,1680,2099,4,4,3
CLUJ,6158,3385,2773,2955,3203,2,2,1
CONSTANTA,8485,5004,3481,3979,4506,3,4,2
COVASNA,4220,2076,2144,1127,3093,5,5,5
DAMBOVITA,5700,2765,2935,1689,4011,3,3,3
DOLJ,19037,8146,10891,3176,15861,7,7,8
GALATI,11733,4972,6761,2470,9263,6,6,6
GIURGIU,2150,1139,1011,742,1408,3,3,2
GORJ,5166,2295,2871,1988,3178,4,4,4
HARGHITA,6030,3028,3002,2661,3369,4,5,4
HUNEDOARA,5875,3153,2722,3484,2391,3,4,3
IALOMITA,4857,2139,2718,1703,3154,5,5,5
IASI,9810,4481,5329,2153,7657,3,3,3
ILFOV,1382,857,525,943,439,1,1,0
MARAMURES,4048,2087,1961,2330,1718,2,2,2
MEHEDINTI,6266,2798,3468,1723,4543,6,6,6
MUN. BUC.,15006,8086,6920,4683,10323,1,1,1
MURES,6442,3040,3402,2201,4241,3,3,3
NEAMT,9097,4053,5044,2580,6517,5,5,5
OLT,9552,4330,5222,2404,7148,6,6,6
PRAHOVA,8517,4450,4067,4335,4182,3,4,2
SALAJ,5267,2428,2839,1671,3596,5,5,5
SATU M.,5398,2524,2874,1155,4243,4,4,4
SIBIU,5230,2527,2703,2359,2871,3,3,2
SUCEAVA,11096,4929,6167,5107,5989,5,5,5
TELEORMAN,9319,3868,5451,1827,7492,7,6,8
TIMIS,4402,2423,1979,2648,1754,1,2,1
TULCEA,2779,1307,1472,1021,1758,3,3,3
VALCEA,6053,3014,3039,2949,3104,4,4,3
VASLUI,9672,4071,5601,2005,7667,7,6,8
VRANCEA,5793,2472,3321,1266,4527,4,4,5
Total ,293461,138633,154828,99547,193914,3,3,3
