JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA ,4968,2356,2612,2327,2641,3,3,3
ARAD,2478,1344,1134,1365,1113,1,1,1
ARGES,8079,4053,4026,3462,4617,3,3,3
BACAU,10857,4588,6269,2417,8440,5,5,5
BIHOR,4316,2556,1760,2820,1496,2,2,1
BISTRITA NASAUD,3295,1723,1572,1738,1557,3,3,2
BOTOSANI,3156,1462,1694,916,2240,2,2,2
BRAILA,4475,1929,2546,804,3671,4,3,4
BRASOV,5477,2525,2952,1528,3949,2,2,2
BUZAU,11242,4578,6664,1628,9614,7,6,7
CALARASI,2829,1401,1428,635,2194,3,3,3
CARA?-SEVERIN,2984,1372,1612,1283,1701,3,3,3
CLUJ,4786,2600,2186,2104,2682,1,2,1
CONSTANTA,6458,4007,2451,3387,3071,2,3,1
COVASNA,2880,1329,1551,604,2276,3,3,3
DAMBOVITA,6035,2852,3183,1010,5025,3,3,3
DOLJ,18140,7876,10264,2996,15144,7,7,7
GALATI,10350,4501,5849,1837,8513,5,5,6
GIURGIU,1763,959,804,555,1208,2,3,2
GORJ,4069,2040,2029,1810,2259,3,3,3
HARGHITA,5087,2370,2717,1570,3517,4,4,4
HUNEDOARA,6220,3450,2770,3379,2841,4,4,3
IALOMITA,3782,1756,2026,1018,2764,4,4,4
IASI,7909,3558,4351,1145,6764,3,3,3
ILFOV,657,387,270,325,332,0,0,0
MARAMURES,4216,2045,2171,1354,2862,2,2,2
MEHEDINTI,6069,2676,3393,1405,4664,6,5,6
MUN. BUC.,15186,8030,7156,3027,12159,1,1,1
MURES,5782,2645,3137,1447,4335,2,3,2
NEAMT,7269,3440,3829,2586,4683,4,4,4
OLT,8573,3828,4745,1820,6753,5,5,5
PRAHOVA,7223,3762,3461,3397,3826,2,3,2
SALAJ,4344,1933,2411,1156,3188,4,4,4
SATU M.,4172,1918,2254,783,3389,3,3,3
SIBIU,4087,1901,2186,1498,2589,2,2,2
SUCEAVA,10280,4524,5756,3541,6739,4,4,5
TELEORMAN,8808,3819,4989,1633,7175,6,5,7
TIMIS,2763,1506,1257,1766,997,1,1,1
TULCEA,2715,1389,1326,915,1800,3,4,3
VALCEA,4967,2531,2436,2422,2545,3,4,3
VASLUI,8421,3453,4968,1217,7204,6,5,7
VRANCEA,4777,2139,2638,1037,3740,4,3,4
Total ,251944,119111,132833,73667,178277,3,3,3
