JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA ,5432,2549,2883,2628,2804,3,3,3
ARAD,3327,1895,1432,2059,1268,2,2,1
ARGES,9412,4883,4529,4209,5203,4,4,3
BACAU,10454,4324,6130,2361,8093,5,5,5
BIHOR,4239,2566,1673,2994,1245,2,2,1
BISTRITA NASAUD,3307,1765,1542,1829,1478,3,3,2
BOTOSANI,3421,1641,1780,967,2454,3,3,3
BRAILA,4508,1961,2547,876,3632,4,4,4
BRASOV,5812,2793,3019,1834,3978,2,3,2
BUZAU,11506,4725,6781,1679,9827,7,6,7
CALARASI,3183,1615,1568,692,2491,4,4,3
CARA?-SEVERIN,3319,1532,1787,1406,1913,3,3,3
CLUJ,5514,3085,2429,2640,2874,2,2,1
CONSTANTA,6497,3592,2905,2277,4220,2,3,2
COVASNA,3263,1572,1691,810,2453,4,4,4
DAMBOVITA,6179,2916,3263,1414,4765,3,4,3
DOLJ,18996,8234,10762,3120,15876,7,7,7
GALATI,10768,4730,6038,1931,8837,6,5,6
GIURGIU,1944,1050,894,591,1353,2,3,2
GORJ,4270,2111,2159,1826,2444,3,3,3
HARGHITA,5244,2451,2793,1590,3654,4,4,4
HUNEDOARA,6380,3635,2745,3703,2677,4,4,3
IALOMITA,4060,1896,2164,979,3081,4,4,4
IASI,8446,3910,4536,1513,6933,3,3,3
ILFOV,677,377,300,339,338,0,0,0
MARAMURES,4536,2186,2350,1560,2976,2,2,2
MEHEDINTI,6328,2809,3519,1490,4838,6,6,6
MUN. BUC.,15241,8077,7164,3764,11477,1,1,1
MURES,5520,2580,2940,1625,3895,2,2,2
NEAMT,6286,3055,3231,2244,4042,3,4,3
OLT,8673,3955,4718,1765,6908,5,5,5
PRAHOVA,7888,4135,3753,3754,4134,3,3,2
SALAJ,4556,2061,2495,1222,3334,4,5,4
SATU M.,4659,2169,2490,910,3749,3,3,3
SIBIU,4309,2086,2223,1918,2391,2,2,2
SUCEAVA,10735,4982,5753,3865,6870,5,5,5
TELEORMAN,8565,3824,4741,1625,6940,6,5,6
TIMIS,3220,1821,1399,2071,1149,1,1,1
TULCEA,2718,1384,1334,788,1930,3,4,3
VALCEA,5301,2682,2619,2301,3000,3,4,3
VASLUI,6972,2997,3975,1271,5701,5,5,6
VRANCEA,5002,2296,2706,1039,3963,4,4,4
Total ,260667,124907,135760,79479,181188,3,3,3
