JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA ,5672,2736,2936,2834,2838,3,4,3
ARAD,4558,2586,1972,2545,2013,2,3,2
ARGES,10383,5470,4913,4714,5669,4,4,4
BACAU,10966,4637,6329,2467,8499,5,5,5
BIHOR,5187,3095,2092,3204,1983,2,3,1
BISTRITA NASAUD,3828,2139,1689,2158,1670,3,4,2
BOTOSANI,4021,1981,2040,1094,2927,3,3,3
BRAILA,4653,2033,2620,871,3782,4,4,4
BRASOV,6362,3079,3283,2102,4260,2,3,2
BUZAU,12293,5203,7090,1853,10440,7,7,8
CALARASI,3740,1930,1810,850,2890,4,4,4
CARA?-SEVERIN,3865,1767,2098,1436,2429,4,4,3
CLUJ,6240,3540,2700,3072,3168,2,2,1
CONSTANTA,6872,3756,3116,2200,4672,2,3,2
COVASNA,3870,1953,1917,1094,2776,5,5,4
DAMBOVITA,6167,2984,3183,1478,4689,3,4,3
DOLJ,19131,8387,10744,3117,16014,7,7,7
GALATI,11726,5273,6453,2018,9708,6,6,6
GIURGIU,2226,1213,1013,647,1579,3,3,2
GORJ,5073,2493,2580,1956,3117,4,4,3
HARGHITA,5730,2809,2921,1858,3872,4,5,4
HUNEDOARA,6435,3695,2740,3686,2749,4,5,3
IALOMITA,4351,2049,2302,1004,3347,5,5,5
IASI,9037,4304,4733,1769,7268,3,3,3
ILFOV,851,490,361,391,460,0,1,0
MARAMURES,5312,2618,2694,1761,3551,3,3,2
MEHEDINTI,6695,3050,3645,1596,5099,6,6,7
MUN. BUC.,15290,8167,7123,4410,10880,1,1,1
MURES,6067,2987,3080,1920,4147,3,3,2
NEAMT,7944,3810,4134,2234,5710,4,5,4
OLT,9288,4274,5014,1867,7421,6,6,6
PRAHOVA,8889,4760,4129,4116,4773,3,4,2
SALAJ,5075,2319,2756,1371,3704,5,5,5
SATU M.,4860,2274,2586,901,3959,3,3,3
SIBIU,5199,2610,2589,2565,2634,3,3,2
SUCEAVA,11563,5531,6032,3998,7565,5,5,5
TELEORMAN,8836,4004,4832,1685,7151,6,6,7
TIMIS,3720,2080,1640,2232,1488,1,1,1
TULCEA,2792,1423,1369,779,2013,3,4,3
VALCEA,5916,2984,2932,2442,3474,4,4,3
VASLUI,7798,3383,4415,1283,6515,6,5,6
VRANCEA,5458,2484,2974,1052,4406,4,4,4
Total ,283939,138360,145579,86630,197309,3,3,3
